trial,severity,mse,active_ingredient,year,spray,location,state
202,0.1,9.90909,trif_prot,2012,2,MAFRA,SC
3,0.1,6.53177,azox_cypr,2005,2,UBERABA,MG
3,0.1,6.53177,tebu,2005,2,UBERABA,MG
8,0.1,0.34482,azox_cypr,2005,2,GUARAPUAVA,PR
7,0.1,6.41161,tebu,2005,2,IPAMERI,GO
7,0.1,6.41161,azox_cypr,2005,2,IPAMERI,GO
33,0.1,0.02706,cypr,2006,2,PASSO FUNDO,RS
85,0.1,0.04092,tebu,2008,2,UBERABA,MG
105,0.1,0.1537,pico_cypr,2009,2,RONDONÓPOLIS,MT
130,0.1,0.09829,azox_cypr,2009,2,RONDONÓPOLIS,MT
8,0.1,0.34482,tebu,2005,2,GUARAPUAVA,PR
33,0.1,0.02706,tebu,2006,2,PASSO FUNDO,RS
85,0.1,0.04092,pico_cypr,2008,2,UBERABA,MG
85,0.1,0.04092,azox_cypr,2008,2,UBERABA,MG
105,0.2,0.1537,pyra_epox,2009,2,RONDONÓPOLIS,MT
130,0.2,0.09829,trif_prot,2009,2,RONDONÓPOLIS,MT
130,0.2,0.09829,tebu,2009,2,RONDONÓPOLIS,MT
122,0.2,5.5159,trif_prot,2009,3,GOIÂNIA,GO
167,0.2,7.9794,pyra_epox,2010,2,CAPÃO DO LEÃO,RS
18,0.2,1.22196,azox_cypr,2005,2,TAMARANA,PR
105,0.2,0.1537,azox_cypr,2009,2,RONDONÓPOLIS,MT
130,0.2,0.09829,pyra_metc,2009,2,RONDONÓPOLIS,MT
152,0.2,0.00756,pyra_metc,2010,2,SANTO ANTÔNIO DA PATRULHA,RS
152,0.2,0.00756,pico_cypr,2010,2,SANTO ANTÔNIO DA PATRULHA,RS
210,0.2,2.31392,pico_cypr,2013,2,SÃO GABRIEL DO OESTE,MS
105,0.2,0.1537,tebu,2009,2,RONDONÓPOLIS,MT
202,0.3,9.90909,pyra_epox,2012,2,MAFRA,SC
126,0.3,0.05907,trif_prot,2009,2,RIO VERDE,GO
152,0.3,0.00756,pyra_epox,2010,2,SANTO ANTÔNIO DA PATRULHA,RS
4,0.3,0.02818,tebu,2005,2,MARACAJÚ,MS
88,0.3,69.9894,pico_cypr,2008,NA,LUIZ EDUARDO MAGALHÃES,BA
94,0.3,0.06302,pico_cypr,2009,3,ENTRE RIOS,PR
152,0.3,0.00756,cypr,2010,2,SANTO ANTÔNIO DA PATRULHA,RS
210,0.3,2.31392,trif_prot,2013,2,SÃO GABRIEL DO OESTE,MS
35,0.4,1.62375,tebu,2006,2,PATO BRANCO,PR
126,0.4,0.05907,azox_cypr,2009,2,RIO VERDE,GO
152,0.4,0.00756,azox_cypr,2010,2,SANTO ANTÔNIO DA PATRULHA,RS
152,0.4,0.00756,tebu,2010,2,SANTO ANTÔNIO DA PATRULHA,RS
167,0.4,7.9794,azox_cypr,2010,2,CAPÃO DO LEÃO,RS
210,0.4,2.31392,cypr,2013,2,SÃO GABRIEL DO OESTE,MS
18,0.4,1.22196,tebu,2005,2,TAMARANA,PR
152,0.4,0.0076,check,2010,2,SANTO ANTÔNIO DA PATRULHA,RS
